pais,emoji,blanco,negro,rojo,amarillo,verde,azul
AD,🇦🇩,,,1,1,,1
AE,🇦🇪,1,,1,,1,
AE,🇦🇪,1,1,1,,,
AF,🇦🇫,,1,1,,1,
AG,🇦🇬,,1,1,1,,
AG,🇦🇬,1,1,1,,,
AI,🇦🇮,1,,1,,,1
AL,🇦🇱,,1,1,,,
AM,🇦🇲,,,1,1,,1
AO,🇦🇴,,1,1,,,
AR,🇦🇷,1,,,,,1
AS,🇦🇸,1,,1,,,1
AT,🇦🇹,1,,1,,,
AU,🇦🇺,1,,1,,,1
AW,🇦🇼,1,,,,,1
AX,🇦🇽,,,1,,,1
AX,🇦🇽,,,1,1,,1
BA,🇧🇦,1,,,1,,1
BA,🇧🇦,,,,1,,1
BB,🇧🇧,,1,,1,,1
BB,🇧🇧,,,,1,,1
BD,🇧🇩,,,1,,1,
BE,🇧🇪,,1,1,1,,
BF,🇧🇫,,,1,,1,
BG,🇧🇬,1,,1,,1,
BH,🇧🇭,1,,1,,,
BI,🇧🇮,1,,1,,1,
BJ,🇧🇯,,,1,1,1,
BL,🇧🇱,1,,,,,
BM,🇧🇲,1,,1,,,1
BN,🇧🇳,1,,,1,,
BN,🇧🇳,,1,1,1,,
BN,🇧🇳,1,1,,1,,
BO,🇧🇴,,,1,1,1,
BQ,🇧🇶,1,,,1,,1
BQ,🇧🇶,1,,,,,1
BR,🇧🇷,,,,1,1,
BR,🇧🇷,,,,1,1,1
BS,🇧🇸,,1,,1,,1
BT,🇧🇹,1,,1,1,,
BT,🇧🇹,,,1,1,,
BW,🇧🇼,,1,,,,1
BY,🇧🇾,1,,1,,1,
BY,🇧🇾,,,1,,1,
BZ,🇧🇿,1,,1,,,1
BZ,🇧🇿,1,,,,,1
CA,🇨🇦,1,,1,,,
CC,🇨🇨,,,,1,1,
CD,🇨🇩,,,1,,,1
CF,🇨🇫,,,1,,1,1
CF,🇨🇫,,,1,1,1,
CF,🇨🇫,1,,1,,1,
CF,🇨🇫,1,,1,,,1
CG,🇨🇬,,,1,1,1,
CH,🇨🇭,1,,1,,,
CI,🇨🇮,1,,1,,1,
CK,🇨🇰,1,,,,,1
CL,🇨🇱,1,,1,,,1
CM,🇨🇲,,,1,1,1,
CN,🇨🇳,,,1,1,,
CO,🇨🇴,,,1,1,,1
CR,🇨🇷,1,,1,,,1
CU,🇨🇺,1,,1,,,1
CV,🇨🇻,1,,1,,,1
CW,🇨🇼,,,,1,,1
CX,🇨🇽,,,,1,1,1
CX,🇨🇽,,,,,1,1
CY,🇨🇾,1,,,1,,
CZ,🇨🇿,1,,1,,,1
DE,🇩🇪,,1,1,1,,
DG,🇩🇬,1,,1,,,1
DJ,🇩🇯,1,,,,1,1
DK,🇩🇰,1,,1,,,
DM,🇩🇲,1,,,1,1,
DO,🇩🇴,1,,1,,,1
DZ,🇩🇿,1,,,1,,
DZ,🇩🇿,1,,1,1,,
EA,🇪🇦,,,1,1,,
EC,🇪🇨,,,1,1,,1
EE,🇪🇪,1,1,,,,1
EG,🇪🇬,1,1,1,,,
EH,🇪🇭,1,,1,,1,
EH,🇪🇭,1,1,1,,,
EH,🇪🇭,,1,1,,1,
ER,🇪🇷,,,1,,1,1
ES,🇪🇸,,,1,1,,
ET,🇪🇹,,,1,1,,1
ET,🇪🇹,,,1,1,1,
FI,🇫🇮,1,,,,,1
FJ,🇫🇯,,,1,,,1
FJ,🇫🇯,1,,1,,,1
FK,🇫🇰,1,,1,,,1
FM,🇫🇲,1,,,,,1
FO,🇫🇴,1,,1,,,
FR,🇫🇷,1,,1,,,1
GA,🇬🇦,,,,1,1,1
GB,🇬🇧,1,,1,,,1
GD,🇬🇩,,,1,1,1,
GE,🇬🇪,1,,1,,,
GF,🇬🇫,,,,1,1,
GG,🇬🇬,1,,1,,,
GG,🇬🇬,1,,1,1,,
GH,🇬🇭,,,1,1,1,
GI,🇬🇮,1,,1,,,
GL,🇬🇱,1,,1,,,
GM,🇬🇲,,,1,,1,1
GN,🇬🇳,,,1,1,1,
GP,🇬🇵,1,,,1,,1
GQ,🇬🇶,1,,1,,,1
GQ,🇬🇶,1,,1,,1,
GR,🇬🇷,1,,,,,1
GT,🇬🇹,1,,,,,1
GU,🇬🇺,1,,,,,1
GW,🇬🇼,,,1,1,1,
GY,🇬🇾,,,1,1,1,
HK,🇭🇰,1,,1,,,
HN,🇭🇳,1,,,,,1
HR,🇭🇷,1,,1,,,1
HT,🇭🇹,,,1,,,1
HU,🇭🇺,1,,1,,1,
IC,🇮🇨,1,,,1,,1
ID,🇮🇩,1,,1,,,
IE,🇮🇪,1,,1,,1,
IL,🇮🇱,1,,,,,1
IM,🇮🇲,1,,1,,,
IN,🇮🇳,1,,,1,1,
IN,🇮🇳,1,,1,,1,
IO,🇮🇴,1,,,,,1
IQ,🇮🇶,1,1,1,,,
IR,🇮🇷,1,,1,,1,
IS,🇮🇸,1,,,,,1
IS,🇮🇸,1,,1,,,1
IS,🇮🇸,1,,1,,,
IT,🇮🇹,1,,1,,1,
JE,🇯🇪,1,,1,,,
JM,🇯🇲,,1,,1,1,
JO,🇯🇴,1,,1,,1,
JO,🇯🇴,1,1,1,,,
JP,🇯🇵,1,,1,,,
KE,🇰🇪,,1,1,,1,
KG,🇰🇬,,,1,1,,
KH,🇰🇭,,,1,,,1
KH,🇰🇭,1,,1,,,1
KI,🇰🇮,1,,1,,,1
KI,🇰🇮,,,1,1,,1
KM,🇰🇲,1,,1,,1,
KM,🇰🇲,1,,1,,,1
KM,🇰🇲,1,,,1,1,
KM,🇰🇲,,,1,1,,1
KN,🇰🇳,,1,1,,1,
KP,🇰🇵,1,,1,,,
KP,🇰🇵,,,1,,,1
KP,🇰🇵,1,,1,,,1
KR,🇰🇷,1,,1,,,
KR,🇰🇷,1,,,,,1
KR,🇰🇷,1,,1,,,1
KR,🇰🇷,1,1,,,,
KW,🇰🇼,1,1,1,,,
